x, y
218.39080459770113, 0.004491017964071856
1057.471264367816, 0.017065868263473054
1873.5632183908044, 0.028293413173652693
2701.1494252873563, 0.038622754491017965
3528.735632183908, 0.048502994011976046
4390.804597701149, 0.05748502994011976
5229.885057471264, 0.06601796407185628
6057.471264367816, 0.07410179640718563
6908.045977011494, 0.08218562874251496
7735.632183908046, 0.08937125748502994
8563.218390804597, 0.09655688622754491
9379.310344827585, 0.10239520958083832
10000, 0.10778443113772455
