x, y,x,y,x,y,x,y
176.9911504,6.96969697,154.8672566,1.515151515,199.1150442,2,199.1150442,2
442.4778761,6.545454545,1991.150442,7.090909091,1039.823009,2.303030303,1969.026549,2.363636364
752.2123894,6.727272727,3982.300885,12,3075.221239,2.484848485,3960.176991,2.484848485
1946.902655,8.848484848,5995.575221,16.42424242,5066.371681,2.484848485,5995.575221,2.484848485
3960.176991,13.27272727,7964.60177,20.42424242,7079.646018,2.484848485,7986.725664,2.545454545
5973.451327,17.39393939,10000,24,9048.672566,2.484848485,10000,2.545454545
8008.849558,21.21212121,,,,,,
10000,24.60606061,,,,,,
